speno_yr,age_class,sex,data_source,daily_prop_ho,peak_ho_hr,doy,year,lat,lon,daylength,iceconc,air2m,rolling_temp,atdd,CM_index,EM_index
PH2005_5997_2005,Adult,Female,NOAA,51.58333333,0.300269353,154,2005,70.81325737,-158.2826076,24,0.709999984,-0.544775391,-1.4916443,2,17,17
PH2005_5997_2005,Adult,Female,NOAA,65.83333333,0.065377125,155,2005,70.81325737,-158.2826076,24,0.749999983,-1.022650146,-0.8797363,2,18,18
PH2005_5997_2005,Adult,Female,NOAA,79.16666667,0.403752834,156,2005,70.82293765,-158.2655615,24,0.709999984,-1.077825928,-1.1132874,2,19,19
PH2005_5997_2005,Adult,Female,NOAA,58.33333333,0.560323412,157,2005,70.82293765,-158.2655615,24,0.649999985,-1.143164062,-1.040564,2,20,20
PH2005_5997_2005,Adult,Female,NOAA,61.66666667,0.158097741,158,2005,70.82293765,-158.2655615,24,0.689999985,-1.256384277,-0.623175,2,21,21
PH2005_5997_2005,Adult,Female,NOAA,66.375,1.013018187,159,2005,70.82293765,-158.2655615,24,0.619999986,-0.455511475,-0.8551392,2,22,22
PH2005_5997_2005,Adult,Female,NOAA,40.04166667,-0.034179365,160,2005,70.8343638,-158.2717298,24,0.619999986,-0.022894287,-0.8494934,2,23,23
PH2005_5997_2005,Adult,Female,NOAA,40.83333333,1.306597111,161,2005,70.8343638,-158.2717298,24,0.809999982,-0.270361328,-0.3002686,2,24,24
PH2005_5997_2005,Adult,Female,NOAA,45,-1.113374619,162,2005,70.8343638,-158.2717298,24,0.729999984,0.089837646,-0.7671875,2,25,25
PH2005_5997_2005,Adult,Female,NOAA,42.5,0.710203561,163,2005,70.8343638,-158.2717298,24,0.709999984,-0.853063965,-0.4804749,2,26,26
PH2005_5997_2005,Adult,Female,NOAA,24.16666667,1.015418014,164,2005,70.8343638,-158.2717298,24,0.689999985,-0.177862549,-0.2681335,2,27,27
PH2005_5997_2005,Adult,Female,NOAA,96.66666667,-2.762419874,165,2005,70.8343638,-158.2717298,24,0.569999987,0.14486084,-1.152594,2,28,28
PH2005_5997_2005,Adult,Female,NOAA,30.83333333,-0.092866061,166,2005,70.8343638,-158.2717298,24,0,0.064569092,-0.6835999,2,29,29
PH2005_5998_2005,Adult,Female,NOAA,57.42105263,-1.715440489,124,2005,70.83643324,-158.2591416,19.85996169,0.999999978,-7.530279541,-4.0827393,0,-13,-13
PH2005_5998_2005,Adult,Female,NOAA,0,NA,125,2005,70.83643324,-158.2591416,20.10139035,0.999999978,-7.931402588,-3.4632324,0,-12,-12
PH2005_5998_2005,Adult,Female,NOAA,2.083333333,-1.77645429,126,2005,70.83643324,-158.2591416,20.35405418,0.999999978,-8.337530518,-4.7258667,0,-11,-11
PH2005_5998_2005,Adult,Female,NOAA,40,2.306307162,127,2005,70.83643324,-158.2591416,20.62044625,0.959999979,-4.97901001,-3.2454285,0,-10,-10
PH2005_5998_2005,Adult,Female,NOAA,0,NA,128,2005,70.83643324,-158.2591416,20.90407827,0.849999981,-5.328375244,-4.2724976,0,-9,-9
PH2005_5998_2005,Adult,Female,NOAA,NA,NA,129,2005,70.83643324,-158.2591416,21.21016835,0.87999998,-4.537298584,-5.0495972,0,-8,-8
PH2005_5998_2005,Adult,Female,NOAA,NA,NA,130,2005,70.83643324,-158.2591416,21.5470675,0.88999998,-4.223364258,-3.3352417,0,-7,-7
PH2005_5998_2005,Adult,Female,NOAA,55.875,-2.574142481,131,2005,70.83643324,-158.2591416,21.92971055,0.88999998,-4.088232422,-4.2605652,0,-6,-6
PH2005_5998_2005,Adult,Female,NOAA,0,NA,132,2005,70.83643324,-158.2591416,22.39032717,0.859999981,-6.108679199,-3.1449646,0,-5,-5
PH2005_5998_2005,Adult,Female,NOAA,32.91666667,-1.976803544,133,2005,70.83643324,-158.2591416,23.03462197,0.869999981,-4.386053467,-0.7264465,0,-4,-4
PH2005_5998_2005,Adult,Female,NOAA,0,NA,134,2005,70.83643324,-158.2591416,24,0.939999979,-3.139685059,-0.8642029,0,-3,-3
PH2005_5998_2005,Adult,Female,NOAA,59.16666667,2.874484556,135,2005,70.83643324,-158.2591416,24,0.949999979,-4.205847168,-1.2696289,0,-2,-2
PH2005_5998_2005,Adult,Female,NOAA,0,NA,136,2005,70.83643324,-158.2591416,24,0.999999978,-4.218054199,-2.0565552,0,-1,-1
PH2005_5998_2005,Adult,Female,NOAA,52.5,2.919208618,137,2005,70.83643324,-158.2591416,24,0.949999979,-4.276190186,-2.7424683,0,0,0
PH2005_5998_2005,Adult,Female,NOAA,2.083333333,-2.476913097,138,2005,70.83643324,-158.2591416,24,0.89999998,-2.5199646,-2.3255066,0,1,1
PH2005_5998_2005,Adult,Female,NOAA,NA,NA,139,2005,70.83643324,-158.2591416,24,0.789999982,-1.523321533,-2.1825317,0,2,2
PH2005_5998_2005,Adult,Female,NOAA,50.83333333,-2.772237351,140,2005,70.83643324,-158.2591416,24,0.789999982,-1.293890381,0.1385742,0,3,3
PH2005_5998_2005,Adult,Female,NOAA,2.916666667,-1.20660429,141,2005,70.83643324,-158.2591416,24,0.769999983,-1.816503906,-1.0142578,0,4,4
PH2005_5998_2005,Adult,Female,NOAA,60,-2.100358311,142,2005,70.83643324,-158.2591416,24,0.88999998,-2.236242676,-0.4916443,0,5,5
PH2005_5998_2005,Adult,Female,NOAA,0,NA,143,2005,70.83643324,-158.2591416,24,0.779999983,-2.476843262,-0.2028564,0,6,6
PH2005_5998_2005,Adult,Female,NOAA,22.08333333,-0.250163859,144,2005,70.83643324,-158.2591416,24,0.709999984,-2.294256592,0.1015869,0,7,7
PH2005_5998_2005,Adult,Female,NOAA,34.58333333,0.508690755,145,2005,70.83643324,-158.2591416,24,0.699999984,-2.299719238,-0.645575,0,8,8
PH2005_5998_2005,Adult,Female,NOAA,34.16666667,1.342812693,146,2005,70.83643324,-158.2591416,24,0.699999984,-1.712988281,-0.962439,0,9,9
PH2005_5998_2005,Adult,Female,NOAA,16.29166667,0.224638419,147,2005,70.83643324,-158.2591416,24,0.759999983,-1.537695312,-1.30802,0,10,10
PH2005_5998_2005,Adult,Female,NOAA,48.33333333,0.151989089,148,2005,70.83643324,-158.2591416,24,0.649999985,-0.749456787,-1.5135254,1,11,11
PH2005_5998_2005,Adult,Female,NOAA,22.5,0.956949484,149,2005,70.85,-158.357,24,0.739999983,-0.476293945,-0.8351501,2,12,12
PH2005_5998_2005,Adult,Female,NOAA,36.66666667,-1.93557014,150,2005,70.85,-158.357,24,0.629999986,0.023461914,-0.8356384,2,13,13
PH2005_5998_2005,Adult,Female,NOAA,14.58333333,0.673697091,151,2005,70.85,-158.357,24,0.709999984,-1.036199951,-1.0572266,2,14,14
PH2005_5998_2005,Adult,Female,NOAA,27.5,-0.61661028,152,2005,70.85,-158.357,24,0.689999985,-1.392126465,-1.5688843,2,15,15
PH2005_5998_2005,Adult,Female,NOAA,51.66666667,0.17613281,153,2005,70.85,-158.357,24,0.789999982,-1.72208252,-0.7680115,2,16,16
PH2005_5998_2005,Adult,Female,NOAA,46.25,0.532325422,154,2005,70.85,-158.357,24,0.709999984,-0.544775391,-1.4916443,2,17,17
PH2005_5998_2005,Adult,Female,NOAA,NA,NA,155,2005,70.85,-158.357,24,0.749999983,-1.022650146,-0.8797363,2,18,18
PH2005_5998_2005,Adult,Female,NOAA,58.75,0.279107236,156,2005,70.81743877,-158.3145686,24,0.709999984,-1.077825928,-1.1132874,2,19,19
PH2005_5998_2005,Adult,Female,NOAA,32,1.04821566,157,2005,70.81743877,-158.3145686,24,0.649999985,-1.143164062,-1.040564,2,20,20
PH2005_5998_2005,Adult,Female,NOAA,36.66666667,-0.915279749,158,2005,70.81743877,-158.3145686,24,0.689999985,-1.256384277,-0.623175,2,21,21
PH2005_5998_2005,Adult,Female,NOAA,32.08333333,-0.676678695,159,2005,70.81743877,-158.3145686,24,0.619999986,-0.455511475,-0.8551392,2,22,22
PH2005_5998_2005,Adult,Female,NOAA,50.54166667,0.247764032,160,2005,70.825,-158.351,24,0.619999986,-0.022894287,-0.8494934,2,23,23
